t_ros,u_cmd_L,u_cmd_R,p_ch_L,p_ch_R,p_sup,L_pos_mm,R_pos_mm,F_L,F_R
1768579763.786951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1768579763.7875884,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.90029907226562,117.28691864013672,120.34765625
1768579763.7884138,5.0,5.0,0.0,0.0,0.0,213.53475952148438,200.6561279296875,117.39368438720703,120.56118774414062
1768579763.7893908,5.0,5.0,0.0,0.0,0.0,213.59579467773438,201.08340454101562,117.14456176757812,119.92057800292969
1768579763.7903893,5.0,5.0,0.0,0.0,0.0,213.47372436523438,200.7781982421875,117.39368438720703,120.20529174804688
1768579763.7913892,5.0,5.0,0.0,0.0,0.0,213.65682983398438,201.20547485351562,117.35809326171875,120.31206512451172
1768579763.7923887,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.5340576171875,117.25132751464844,120.24088287353516
1768579763.793394,5.0,5.0,0.0,0.0,0.0,213.90097045898438,201.14443969726562,117.5716323852539,120.38323974609375
1768579763.7943885,5.0,5.0,0.0,0.0,0.0,213.90097045898438,200.96133422851562,117.7139892578125,120.34765625
1768579763.7953894,5.0,5.0,0.0,0.0,0.0,213.96200561523438,200.3509521484375,117.322509765625,120.24088287353516
1768579763.796388,5.0,5.0,0.0,0.0,0.0,213.71786499023438,200.90029907226562,117.39368438720703,120.02735137939453
1768579763.7973876,5.0,5.0,0.0,0.0,0.0,213.59579467773438,201.20547485351562,117.14456176757812,120.06293487548828
1768579763.79839,5.0,5.0,0.0,0.0,0.0,214.14511108398438,201.08340454101562,117.39368438720703,120.31206512451172
1768579763.7993896,5.0,5.0,0.0,0.0,0.0,213.53475952148438,201.02236938476562,117.18014526367188,120.24088287353516
1768579763.8003876,5.0,5.0,0.0,0.0,0.0,213.90097045898438,200.96133422851562,117.60722351074219,120.34765625
1768579763.8013875,5.0,5.0,0.0,0.0,0.0,214.02304077148438,201.14443969726562,117.42927551269531,120.20529174804688
1768579763.8023875,5.0,5.0,0.0,0.0,0.0,213.47372436523438,200.7171630859375,117.21573638916016,120.31206512451172
1768579763.8033874,5.0,5.0,0.0,0.0,0.0,214.02304077148438,201.38858032226562,117.03777313232422,120.09852600097656
